sample_id	singscore_F	singscore_M	ssgsea_F	ssgsea_M	delta_singscore	delta_ssgsea	title	status	submission_date	last_update_date	type	channel_count	source_name_ch1	organism_ch1	characteristics_ch1	molecule_ch1	extract_protocol_ch1	label_ch1	label_protocol_ch1	taxid_ch1	hyb_protocol	scan_protocol	description	data_processing	platform_id	contact_name	contact_email	contact_laboratory	contact_department	contact_institute	contact_address	contact_city	contact_state	contact_zip/postal_code	contact_country	supplementary_file	data_row_count
GSM352143	6.095969193522143	14.792922887973202	NA	NA	0.26102646666474444	0	10519T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352143/suppl/GSM352143.CEL.gz	22283
GSM352144	5.950790359218616	14.591503669460401	NA	NA	-0.144216115714479	0	105880T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352144/suppl/GSM352144.CEL.gz	22283
GSM352145	6.065935173273494	14.77902464085857	NA	NA	0.06411334706441324	0	106201T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352145/suppl/GSM352145.CEL.gz	22283
GSM352146	5.926336241031023	14.46629830802501	NA	NA	0.1591966897070347	0	106389T (U133A): Liver metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Liver	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Liver metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352146/suppl/GSM352146.CEL.gz	22283
GSM352147	6.151634488212856	14.84181890247845	NA	NA	0.5317763840194449	0	106570T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352147/suppl/GSM352147.CEL.gz	22283
GSM352148	5.8791927265753365	14.560791205575569	NA	NA	-0.6234855162753009	0	107426T (U133A): Brain metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Brain	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Brain metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352148/suppl/GSM352148.CEL.gz	22283
GSM352149	5.862673803121247	14.265037881793189	NA	NA	0.4413543880186066	0	107482T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352149/suppl/GSM352149.CEL.gz	22283
GSM352150	5.976287308558977	14.753010695082189	NA	NA	-0.5866425070141653	0	109506T (U133A): Brain metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Brain	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Brain metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352150/suppl/GSM352150.CEL.gz	22283
GSM352151	6.0240938755843	14.65560687907843	NA	NA	0.21348914198496816	0	109594T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352151/suppl/GSM352151.CEL.gz	22283
GSM352152	6.009296973812237	14.62329021027002	NA	NA	0.22018380453431702	0	109714T (U133A): Brain metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Brain	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Brain metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352152/suppl/GSM352152.CEL.gz	22283
GSM352153	5.882105946970467	14.50644242034171	NA	NA	-0.37759495025241196	0	109734T (U133A): Brain metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Brain	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Brain metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352153/suppl/GSM352153.CEL.gz	22283
GSM352154	6.091826212600753	14.951690554306621	NA	NA	-0.42042424436564885	0	11887T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352154/suppl/GSM352154.CEL.gz	22283
GSM352155	6.108768365176354	14.74520276456298	NA	NA	0.5633692831892365	0	12367T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352155/suppl/GSM352155.CEL.gz	22283
GSM352156	5.867963182467273	14.42983870199809	NA	NA	-0.1850478185444101	0	12740T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352156/suppl/GSM352156.CEL.gz	22283
GSM352157	5.976831428598113	14.82656857940558	NA	NA	-0.8815680411214408	0	12749T (U133A): Liver metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Liver	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Liver metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352157/suppl/GSM352157.CEL.gz	22283
GSM352158	6.159533729482823	14.85219120908642	NA	NA	0.556215981353882	0	14045T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352158/suppl/GSM352158.CEL.gz	22283
GSM352159	5.9512546273239035	14.85758362061894	NA	NA	-1.2237407072289623	0	14891T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352159/suppl/GSM352159.CEL.gz	22283
GSM352160	5.998867588851174	14.756615022337721	NA	NA	-0.41072786947312034	0	15112T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352160/suppl/GSM352160.CEL.gz	22283
GSM352161	5.984217933681164	14.54849075796411	NA	NA	0.3130755273495668	0	1813T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352161/suppl/GSM352161.CEL.gz	22283
GSM352162	5.806237267030924	14.58791400916148	NA	NA	-1.3497135434103285	0	3032T (U133A): Liver metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Liver	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Liver metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352162/suppl/GSM352162.CEL.gz	22283
GSM352163	6.063560360371984	15.044428511944679	NA	NA	-1.0366218655387403	0	3878T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352163/suppl/GSM352163.CEL.gz	22283
GSM352164	6.05039357719469	14.30366102578869	NA	NA	1.8685524481967086	0	4059T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352164/suppl/GSM352164.CEL.gz	22283
GSM352165	6.093108338992	14.4991087374911	NA	NA	1.4332525310538062	0	5381T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352165/suppl/GSM352165.CEL.gz	22283
GSM352166	6.08644533023789	14.86149037132251	NA	NA	-0.09855856399309026	0	6565T (U133A): Lung metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Lung	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Lung metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352166/suppl/GSM352166.CEL.gz	22283
GSM352167	5.90643583156956	14.47584697143169	NA	NA	-0.04765552822591124	0	6752T (U133A): Bone metastasis	Public on May 01 2009	Dec 17 2008	Dec 17 2008	RNA	1	Bone	Homo sapiens	Breast cancer	total RNA	TRIzol (GIBCO/BRL)	Biotin	Biotinylated nucleotides (Enzo Biochem), standard Affymetrix protocol	9606	Test3 arrays (Affymetrix), standard Affymetrix protocol	standard Affymetrix protocol	Bone metastasis	RMA algorithm	GPL96	Xiang,,Zhang	xiangz@bcm.edu	Zhang	Lester and Sue Smith Breast Center	Baylor College of Medicine	One Baylor Plaza, BCM600	Houston	TX	77030	USA	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM352nnn/GSM352167/suppl/GSM352167.CEL.gz	22283
